,orgid,prefix,visible,dark,total
10037,47779,186.172.0.0/14,0,262144,262144
10034,23085,186.164.0.0/15,0,131072,131072
10000,35073,186.98.0.0/15,0,131072,131072
5922,95936,167.134.0.0/16,0,65536,65536
5299,65334,140.191.0.0/16,0,65536,65536
5673,29834,148.242.0.0/16,0,65536,65536
5681,53168,148.250.0.0/16,0,65536,65536
5695,16640,152.139.0.0/16,0,65536,65536
5713,144929,155.211.0.0/16,0,65536,65536
5679,77090,148.248.0.0/16,0,65536,65536
5828,23085,161.234.0.0/16,0,65536,65536
5830,23085,161.255.0.0/16,0,65536,65536
5832,95947,162.122.0.0/16,0,65536,65536
5836,12155,163.250.0.0/16,0,65536,65536
5841,54076,164.96.0.0/16,0,65536,65536
5842,13620,164.98.0.0/16,0,65536,65536
5915,13630,166.110.0.0/16,0,65536,65536
5720,13730,158.160.0.0/16,0,65536,65536
5918,245143,167.28.0.0/16,0,65536,65536
12104,21455,201.169.0.0/16,0,65536,65536
3803,95942,129.90.0.0/16,0,65536,65536
10671,236470,189.201.0.0/17,0,32768,32768
10990,20004,190.197.128.0/17,0,32768,32768
10004,35073,186.103.0.0/17,0,32768,32768
9476,97264,177.234.0.0/17,0,32768,32768
10049,33180,186.189.0.0/18,0,16384,16384
9509,88282,179.0.64.0/18,0,16384,16384
10880,21882,190.110.0.0/19,0,8192,8192
11566,63177,200.90.224.0/19,0,8192,8192
12132,88282,201.218.160.0/19,0,8192,8192
9508,88282,179.0.32.0/19,0,8192,8192
11657,130343,200.128.192.0/19,0,8192,8192
10321,114721,187.16.192.0/19,0,8192,8192
9088,99576,177.126.32.0/19,0,8192,8192
10897,88282,190.113.32.0/19,0,8192,8192
10655,124913,189.126.128.0/19,0,8192,8192
10742,21199,190.12.192.0/19,0,8192,8192
10595,114721,189.76.96.0/19,0,8192,8192
8958,124215,177.105.96.0/20,0,4096,4096
11729,130059,200.169.64.0/20,0,4096,4096
9568,89564,179.49.80.0/20,0,4096,4096
11336,130343,200.18.224.0/20,0,4096,4096
11658,130343,200.128.224.0/20,0,4096,4096
9615,21199,179.61.16.0/20,0,4096,4096
9733,153813,179.109.176.0/20,0,4096,4096
11565,63177,200.90.208.0/20,0,4096,4096
11340,130343,200.19.16.0/20,0,4096,4096
8554,118255,177.71.96.0/20,0,4096,4096
10568,124913,189.45.240.0/20,0,4096,4096
10626,146021,189.91.160.0/20,0,4096,4096
12043,53158,201.150.64.0/20,0,4096,4096
11822,112550,200.229.120.0/21,0,2048,2048
11754,124137,200.192.224.0/21,0,2048,2048
12007,21461,201.139.160.0/21,0,2048,2048
192,35340,45.6.248.0/21,0,2048,2048
